iter	Passed	Remaining
422	2325	3171
423	2329	3164
424	2335	3159
425	2341	3155
426	2345	3147
427	2352	3144
428	2357	3137
429	2362	3131
430	2368	3126
431	2373	3120
432	2380	3117
433	2387	3113
434	2392	3107
435	2396	3100
436	2403	3096
437	2406	3088
438	2412	3082
439	2417	3076
440	2425	3073
441	2430	3068
442	2435	3062
443	2443	3059
444	2449	3055
445	2455	3049
446	2461	3045
447	2467	3040
448	2472	3034
449	2479	3029
450	2483	3022
451	2488	3016
452	2493	3011
453	2500	3007
454	2505	3000
455	2510	2994
456	2517	2990
457	2522	2985
458	2527	2979
459	2533	2974
460	2539	2968
461	2545	2963
462	2550	2958
463	2556	2953
464	2563	2949
465	2567	2942
466	2571	2934
467	2578	2930
468	2584	2926
469	2593	2924
470	2598	2918
471	2603	2912
472	2608	2906
473	2612	2899
474	2618	2894
475	2622	2886
476	2627	2881
477	2634	2877
478	2639	2871
479	2644	2865
480	2649	2859
481	2657	2855
482	2662	2850
483	2667	2843
484	2672	2837
485	2677	2832
486	2683	2827
487	2688	2820
488	2693	2814
489	2697	2807
490	2702	2801
491	2707	2795
492	2712	2789
493	2716	2782
494	2722	2776
495	2726	2770
496	2731	2764
497	2736	2758
498	2741	2752
499	2746	2746
500	2751	2740
501	2755	2733
502	2760	2727
503	2765	2721
504	2770	2715
505	2775	2709
506	2780	2703
507	2786	2698
508	2791	2692
509	2796	2686
510	2801	2680
511	2806	2675
512	2811	2668
513	2816	2662
514	2820	2656
515	2825	2650
516	2831	2644
517	2835	2638
518	2840	2632
519	2845	2626
520	2850	2620
521	2855	2614
522	2860	2609
523	2865	2602
524	2870	2597
525	2875	2591
526	2880	2585
527	2885	2579
528	2890	2573
529	2895	2567
530	2900	2561
531	2905	2556
532	2910	2549
533	2915	2544
534	2920	2538
535	2924	2531
536	2929	2525
537	2933	2519
538	2937	2512
539	2941	2506
540	2946	2499
541	2951	2493
542	2956	2488
543	2961	2482
544	2964	2475
545	2969	2468
546	2974	2463
547	2979	2457
548	2983	2450
549	2988	2444
550	2992	2438
551	2997	2432
552	3002	2426
553	3007	2420
554	3011	2414
555	3016	2408
556	3021	2403
557	3026	2397
558	3031	2391
559	3036	2385
560	3041	2379
561	3046	2374
562	3051	2368
563	3054	2361
564	3060	2355
565	3065	2350
566	3069	2344
567	3088	2349
568	3093	2343
569	3098	2337
570	3103	2331
571	3108	2326
572	3113	2320
573	3118	2314
574	3123	2308
575	3128	2302
576	3133	2297
577	3137	2290
578	3141	2284
579	3146	2278
580	3151	2273
581	3156	2267
582	3161	2261
583	3166	2255
584	3173	2251
585	3183	2249
586	3187	2242
587	3193	2237
588	3199	2232
589	3204	2226
590	3208	2220
591	3213	2214
592	3219	2209
593	3223	2203
594	3228	2197
595	3233	2192
596	3238	2186
597	3243	2180
598	3248	2174
599	3253	2169
600	3258	2163
601	3263	2157
602	3267	2151
603	3273	2145
604	3276	2139
605	3281	2133
606	3286	2127
607	3290	2121
608	3295	2116
609	3300	2110
610	3305	2104
611	3310	2099
612	3315	2093
613	3320	2087
614	3325	2081
615	3330	2075
616	3335	2070
617	3340	2064
618	3345	2059
619	3349	2053
620	3354	2047
621	3359	2041
622	3364	2036
623	3381	2037
624	3386	2032
625	3391	2026
626	3396	2020
627	3401	2014
628	3406	2009
629	3411	2003
630	3416	1997
631	3421	1992
632	3426	1986
633	3431	1980
634	3436	1975
635	3441	1969
636	3445	1963
637	3449	1957
638	3454	1951
639	3459	1946
640	3474	1946
641	3479	1940
642	3484	1934
643	3489	1928
644	3493	1923
645	3499	1917
646	3503	1911
647	3509	1906
648	3513	1900
649	3518	1894
650	3523	1889
651	3528	1883
652	3533	1877
653	3538	1872
654	3543	1866
655	3549	1861
656	3553	1855
657	3558	1849
658	3562	1843
659	3568	1838
660	3573	1832
661	3577	1826
662	3582	1821
663	3586	1814
664	3591	1809
665	3599	1805
666	3603	1799
667	3608	1793
668	3613	1787
669	3618	1782
670	3623	1776
671	3628	1770
672	3633	1765
673	3638	1759
674	3643	1754
675	3647	1748
676	3652	1742
677	3657	1737
678	3662	1731
679	3667	1725
680	3672	1720
681	3677	1714
682	3682	1709
683	3687	1703
684	3692	1697
685	3697	1692
686	3702	1686
687	3706	1681
688	3712	1675
689	3716	1669
690	3720	1663
691	3725	1658
692	3730	1652
693	3735	1647
694	3740	1641
695	3745	1636
696	3750	1630
697	3755	1624
698	3760	1619
699	3765	1613
700	3768	1607
701	3773	1601
702	3776	1595
703	3780	1589
704	3784	1583
705	3788	1577
706	3792	1571
707	3799	1567
708	3807	1562
709	3813	1557
710	3818	1552
711	3822	1546
712	3827	1540
713	3833	1535
714	3838	1529
715	3843	1524
716	3847	1518
